"YEAR","SEX","AGE","RACE","HISPAN","EDUC","EMPSTAT","INCTOT","FTOTINC"
2010,2,44,1,0,11,1,144000,248000
2010,1,12,1,0,2,0,NA,248000
2010,2,10,1,0,1,0,NA,248000
2010,2,38,1,0,11,1,103000,103000
2010,2,27,1,0,10,1,53000,53000
2010,1,28,1,0,11,1,43000,53000
2010,1,53,2,0,11,1,90400,90400
2010,1,35,3,0,10,1,13200,13200
2010,2,22,2,0,6,3,0,10900
2010,1,25,2,0,4,3,10900,10900
2010,1,27,1,0,10,1,56000,56000
2010,1,52,1,0,10,1,41000,41000
2010,1,53,1,0,11,1,72500,41000
2010,1,22,1,0,10,1,15000,15000
2010,1,36,1,0,7,1,80000,115000
2010,2,37,1,0,8,1,35000,115000
2010,2,55,2,0,8,3,0,4600
2010,1,55,2,0,6,1,4600,4600
2010,2,31,1,0,10,1,15380,15380
2010,1,48,1,0,10,3,4100,15380
2010,1,28,1,0,10,1,70000,1e+05
2010,2,28,1,0,11,1,30000,1e+05
2010,1,31,1,0,10,1,54000,54000
2010,1,74,1,0,10,3,42200,68100
2010,2,73,1,0,7,3,25900,68100
2010,2,50,1,0,6,1,48050,103100
2010,1,46,1,0,10,1,55050,103100
2010,1,26,1,0,10,1,56000,91000
2010,2,26,1,0,10,1,35000,91000
2010,1,79,1,0,8,1,55000,65400
2010,2,80,1,0,6,3,10400,65400
2010,1,31,1,0,10,1,38000,83000
2010,2,30,1,0,11,1,45000,83000
2010,1,0,1,0,0,0,NA,83000
2010,2,34,1,0,10,1,114000,114000
2010,2,60,1,0,6,1,27000,53700
2010,1,32,3,0,10,1,26700,53700
2010,1,23,1,1,10,1,50000,50000
2010,1,60,1,0,6,3,2000,2000
2010,2,52,2,0,8,1,16000,16000
2010,2,33,1,0,6,3,8100,8100
2010,1,8,3,0,1,0,NA,8100
2010,1,3,3,0,1,0,NA,8100
2010,1,66,1,0,7,3,45000,54900
2010,2,67,1,0,10,3,9900,54900
2010,1,61,1,0,10,1,41800,41800
2010,2,55,1,0,8,1,30000,30000
2010,1,52,1,0,8,1,34000,30000
2010,2,61,1,0,7,3,24200,NA
2010,1,63,1,0,6,3,25700,48700
2010,2,59,1,0,7,1,23000,48700
2010,1,41,2,0,6,2,0,0
2010,1,41,1,0,10,1,800,800
2010,1,26,2,0,6,1,1200,1200
2010,1,54,1,0,10,1,21400,21400
2010,1,68,2,0,0,3,8360,8360
2010,1,45,1,0,10,1,55000,55000
2010,2,28,1,0,6,1,3500,3500
2010,2,38,1,0,11,1,50000,115000
2010,1,39,1,0,11,1,65000,115000
2010,2,59,1,0,10,1,54100,54100
2010,1,39,1,0,6,1,24000,42000
2010,2,40,1,0,6,1,18000,42000
2010,1,4,1,0,0,0,NA,42000
2010,2,1,1,0,0,0,NA,42000
2010,2,23,1,0,10,1,50090,50090
2010,1,25,1,0,7,1,25000,50090
2010,2,23,1,0,10,1,11030,11030
2010,1,75,1,0,6,3,30500,30500
2010,2,28,1,0,10,1,31000,93000
2010,1,26,1,0,6,1,62000,93000
2010,1,34,1,0,10,1,145000,145000
2010,2,29,1,0,6,3,8000,145000
2010,2,30,1,4,10,1,120000,120000
2010,1,32,2,0,6,2,26900,26900
2010,1,87,1,0,11,3,80000,80000
2010,1,36,1,0,10,1,78600,121600
2010,2,36,1,0,10,1,43000,121600
2010,2,2,1,0,0,0,NA,121600
2010,2,29,1,0,10,1,40000,40000
