"YEAR","SEX","AGE","RACE","HISPAN","EDUC","EMPSTAT","INCTOT","FTOTINC"
2019,1,0,1,0,0,0,NA,NA
2019,1,66,1,0,11,1,67000,NA
2019,2,56,1,0,7,3,10200,NA
2019,1,32,1,0,5,3,310,NA
2019,2,53,1,0,6,3,16400,NA
2019,1,18,1,0,6,3,3300,NA
2019,1,21,1,0,7,1,6000,NA
2019,2,15,1,0,3,0,9300,NA
2019,1,27,1,0,6,3,5160,NA
2019,1,28,1,0,6,3,10600,NA
2019,1,11,3,0,2,0,NA,NA
2019,1,34,3,0,6,3,2400,NA
2019,1,20,1,0,7,2,5300,NA
2019,1,40,3,4,6,2,9000,NA
2019,1,78,1,0,6,3,38000,NA
2019,2,20,1,0,7,1,3000,NA
2019,2,80,1,0,4,3,49900,NA
2019,2,52,3,0,8,3,1200,NA
2019,1,32,1,0,5,3,310,NA
2019,2,95,1,0,6,3,0,NA
2019,2,19,1,0,6,3,4000,NA
2019,1,57,2,0,4,3,2400,NA
2019,1,19,1,0,6,3,3900,NA
2019,1,3,3,1,0,0,NA,NA
2019,2,74,3,1,6,1,82300,82300
2019,2,50,1,0,10,1,64800,64800
2019,1,41,1,0,7,1,19000,64800
2019,1,33,3,0,7,1,18000,18000
2019,1,36,1,0,11,1,52550,262590
2019,2,37,1,0,11,1,210040,262590
2019,2,5,1,0,1,0,NA,262590
2019,2,3,1,0,1,0,NA,262590
2019,2,1,1,0,0,0,NA,262590
2019,2,22,3,0,10,1,20000,20000
2019,1,25,3,0,10,1,75000,20000
2019,1,33,1,0,10,1,182000,232000
2019,2,33,1,3,11,1,50000,232000
2019,2,2,1,3,0,0,NA,232000
2019,2,0,1,3,0,0,NA,232000
2019,1,37,1,0,7,1,45000,45000
2019,1,34,1,0,10,1,40000,40000
2019,1,70,1,0,7,3,17500,17500
2019,2,30,3,0,10,1,65000,65000
2019,1,32,1,0,11,1,48000,65000
2019,1,66,1,0,10,3,19500,19500
2019,2,66,1,0,10,3,0,19500
2019,2,59,1,0,11,2,53000,53000
2019,2,32,1,0,10,1,69000,77600
2019,1,60,1,0,10,1,8600,77600
2019,1,50,1,0,11,1,154000,234800
2019,2,50,1,0,11,1,73800,234800
2019,1,16,1,0,5,1,7000,234800
2019,2,14,1,0,3,0,NA,234800
2019,1,51,1,0,11,1,42400,43400
2019,2,55,1,0,10,2,1000,43400
